,order_id,order_status,customer,order_date,order_quantity,sales,discount,discount_value,product_category,product_sub_category,revenue,quarter,year,month,week_day
1,3, Order Finished  , Muhammed MacIntyre     ,2010-10-13,6,523080,0.04,20923, Office Supplies  , Storage & Organization         ,502157,2010Q4,2010,October-2010,Wednesday
4,515, Order Finished  , Carlos Soltero         ,2010-08-28,19,788540,0.08,63083, Office Supplies  , Appliances                     ,725457,2010Q3,2010,August-2010,Saturday
5,613, Order Finished  , Carl Jackson           ,2011-06-17,12,187080,0.03,5612, Office Supplies  , Binders and Binder Accessories ,181468,2011Q2,2011,June-2011,Friday
6,643, Order Finished  , Monica Federle         ,2011-03-24,21,5563640,0.07,389455, Office Supplies  , Storage & Organization         ,5174185,2011Q1,2011,March-2011,Thursday
7,678, Order Returned  , Dorothy Badders        ,2010-02-26,44,456820,0.07,31977, Office Supplies  , Paper                          ,424843,2010Q1,2010,February-2010,Friday
8,807, Order Finished  , Neola Schneider        ,2010-11-23,45,393700,0.01,3937, Office Supplies  , Paper                          ,389763,2010Q4,2010,November-2010,Tuesday
9,868, Order Finished  , Carlos Daly            ,2012-06-08,32,1433680,0.0,0, Office Supplies  , Appliances                     ,1433680,2012Q2,2012,June-2012,Friday
10,933, Order Finished  , Claudia Miner          ,2012-08-04,15,161220,0.02,3224, Office Supplies  , Binders and Binder Accessories ,157996,2012Q3,2012,August-2012,Saturday
11,995, Order Finished  , Neola Schneider        ,2011-05-30,46,3630980,0.03,108929, Furniture        , Office Furnishings             ,3522051,2011Q2,2011,May-2011,Monday
12,998, Order Finished  , Allen Rosenblatt       ,2009-11-25,16,496520,0.07,34756, Office Supplies  , Envelopes                      ,461764,2009Q4,2009,November-2009,Wednesday
14,1344, Order Finished  , Jim Radford            ,2012-04-15,15,1669808,0.06,100188, Technology       , Telephones and Communication   ,1569620,2012Q2,2012,April-2012,Sunday
15,1412, Order Finished  , Carlos Soltero         ,2010-03-12,13,118060,0.1,11806, Office Supplies  , Labels                         ,106254,2010Q1,2010,March-2010,Friday
16,1539, Order Finished  , Carl Ludwig            ,2011-03-09,33,1023660,0.1,102366, Office Supplies  , Binders and Binder Accessories ,921294,2011Q1,2011,March-2011,Wednesday
17,1540, Order Finished  , Don Miller             ,2012-08-04,30,161800,0.09,14562, Office Supplies  , Pens & Art Supplies            ,147238,2012Q3,2012,August-2012,Saturday
18,1702, Order Finished  , Annie Cyprus           ,2011-05-06,23,134480,0.06,8069, Office Supplies  , Pens & Art Supplies            ,126411,2011Q2,2011,May-2011,Friday
20,1792, Order Finished  , Carlos Soltero         ,2010-11-08,28,740960,0.04,29638, Office Supplies  , Storage & Organization         ,711322,2010Q4,2010,November-2010,Monday
21,2275, Order Finished  , Grant Carroll          ,2012-10-21,49,556000,0.08,44480, Office Supplies  , Pens & Art Supplies            ,511520,2012Q4,2012,October-2012,Sunday
22,2277, Order Finished  , Don Miller             ,2011-01-01,10,133080,0.01,1331, Technology       , Computer Peripherals           ,131749,2011Q1,2011,January-2011,Saturday
23,2532, Order Finished  , Alan Barnes            ,2011-10-10,39,564140,0.03,16924, Office Supplies  , Labels                         ,547216,2011Q4,2011,October-2011,Monday
24,2631, Order Finished  , Jack Garza             ,2010-09-23,27,2156980,0.08,172558, Technology       , Computer Peripherals           ,1984422,2010Q3,2010,September-2010,Thursday
25,2757, Order Finished  , Julia West             ,2011-07-19,39,7108920,0.07,497624, Furniture        , Chairs & Chairmats             ,6611296,2011Q3,2011,July-2011,Tuesday
26,2791, Order Finished  , Eugene Barchas         ,2009-10-09,47,383340,0.0,0, Office Supplies  , Binders and Binder Accessories ,383340,2009Q4,2009,October-2009,Friday
28,3232, Order Finished  , Brad Eason             ,2012-10-08,5,85320,0.06,5119, Office Supplies  , Binders and Binder Accessories ,80201,2012Q4,2012,October-2012,Monday
29,3524, Order Finished  , Nicole Hansen          ,2012-05-02,21,854640,0.0,0, Office Supplies  , Paper                          ,854640,2012Q2,2012,May-2012,Wednesday
30,3908, Order Finished  , Dorothy Wardle         ,2010-03-08,8,1640568,0.0,0, Technology       , Telephones and Communication   ,1640568,2010Q1,2010,March-2010,Monday
31,4132, Order Finished  , Aaron Bergman          ,2011-05-28,5,29520,0.01,295, Office Supplies  , Labels                         ,29225,2011Q2,2011,May-2011,Saturday
32,4612, Order Finished  , Jim Radford            ,2010-09-19,9,179100,0.06,10746, Office Supplies  , Appliances                     ,168354,2010Q3,2010,September-2010,Sunday
33,4676, Order Finished  , Annie Cyprus           ,2011-08-31,11,2420103,0.04,96804, Technology       , Telephones and Communication   ,2323299,2011Q3,2011,August-2011,Wednesday
